Период уплаты премии;Возраст Застрахованного;Пол;Смерть ЛП;Инвалидность 1,2. гр. ЛП;Смерть НС;Смерть ДТП;Травма;"КЗ РФ
Взнос";"КЗ Зарубеж
Взнос";i
5;18;m;0,07045%;0,01632%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;19;m;0,08066%;0,01633%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;20;m;0,09158%;0,01633%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;21;m;0,10314%;0,01633%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;22;m;0,11523%;0,01634%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;23;m;0,12772%;0,01634%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;24;m;0,14040%;0,01635%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;25;m;0,15307%;0,01635%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;26;m;0,16550%;0,01635%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;27;m;0,17755%;0,01669%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;28;m;0,18905%;0,01745%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;29;m;0,19993%;0,01880%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;30;m;0,21013%;0,02084%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;31;m;0,21969%;0,02368%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;32;m;0,22890%;0,02708%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;33;m;0,23812%;0,03103%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;34;m;0,24778%;0,03553%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;35;m;0,25830%;0,04071%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;36;m;0,27009%;0,04673%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;37;m;0,28332%;0,05323%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;38;m;0,29814%;0,06044%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;39;m;0,31465%;0,06840%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;40;m;0,33290%;0,07714%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;41;m;0,35293%;0,08653%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;42;m;0,37487%;0,09703%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;43;m;0,39883%;0,10838%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;44;m;0,42495%;0,12047%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;45;m;0,45333%;0,13330%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;46;m;0,48412%;0,14844%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;47;m;0,51733%;0,16472%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
5;48;m;0,55298%;0,18232%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
